,spread
2017-08-31,-0.0027051103400008523
2017-09-30,0.07131273982688158
2017-10-31,-0.04836187353482457
2017-11-30,-0.05995914181963156
2017-12-31,0.04811222809226101
2018-01-31,0.05798784576891349
2018-02-28,-0.020062622289221472
2018-03-31,-0.028733298171077025
2018-04-30,0.09147595780826671
2018-05-31,-0.04669301454509467
2018-06-30,-0.021709475053826227
2018-07-31,0.09509952321218172
2018-08-31,0.005875144543081585
2018-09-30,-0.05796901510437923
2018-10-31,-0.02732171939082634
2018-11-30,0.01359714607080287
2018-12-31,-0.024504625847722745
2019-01-31,0.03222274406372719
2019-02-28,0.02743964570695938
2019-03-31,-0.031249875966592257
2019-04-30,0.10361960665069944
2019-05-31,-0.060723013161696676
2019-06-30,0.0005573620471116809
2019-07-31,0.1186023667602169
2019-08-31,-0.09535639674550406
2019-09-30,-0.016847655907095173
2019-10-31,-0.01968321557471681
2019-11-30,-0.03299998104663202
2019-12-31,0.06162836797489425
2020-01-31,0.02923894950563483
2020-02-29,0.18038075243822388
2020-03-31,-0.06675772742477686
2020-04-30,0.02996891667635155
2020-05-31,0.008119194150677706
2020-06-30,0.08948244890107786
2020-07-31,-0.01918211696042017
2020-08-31,0.026278156569070385
2020-09-30,-0.009450144656803735
2020-10-31,-0.13383772581401024
2020-11-30,-0.0067087870549926345
2020-12-31,0.03851516277347557
2021-01-31,-0.09547444741675823
2021-02-28,-0.09343249824597377
2021-03-31,0.008486976461226826
2021-04-30,-0.009904726892846629
2021-05-31,0.0005003756630871316
2021-06-30,-0.02034082703470299
2021-07-31,0.019757746901721003
2021-08-31,0.014391969471879991
2021-09-30,0.044800269873962205
2021-10-31,-0.024025497618395317
2021-11-30,-0.06950901539625579
2021-12-31,-0.05152855291147562
2022-01-31,0.03878843248259533
2022-02-28,0.05191744387827501
2022-03-31,0.05410839748129937
2022-04-30,0.09333660393472742
2022-05-31,0.03104659371473248
2022-06-30,-0.07258669684462409
2022-07-31,0.04942337593459726
2022-08-31,0.043697735907176974
2022-09-30,0.05565453900088909
2022-10-31,-0.0005476067917904795
2022-11-30,0.06413576107254472
2022-12-31,-0.18522185587219284
2023-01-31,-0.0032872441110154077
2023-02-28,-0.025374970836085683
2023-03-31,0.02221397367484542
2023-04-30,-0.018077331185585372
2023-05-31,-0.025690941308697902
2023-06-30,-0.02467198994612961
2023-07-31,0.012656525867806799
2023-08-31,-0.0004332117116218788
2023-09-30,0.0011938475168204385
2023-10-31,0.027429645118821858
2023-11-30,-0.045451950544918227
2023-12-31,0.07038836184433403
2024-01-31,0.1429985808429896
2024-02-29,0.0008388131351312438
2024-03-31,-0.023700874871227417
2024-04-30,0.03101962935885485
2024-05-31,0.011177819338271479
2024-06-30,-0.04015294413815059
2024-07-31,0.02282487276205105
2024-08-31,0.030993955757457958
2024-09-30,0.05835873896568023
2024-10-31,0.096987827013153
2024-11-30,-0.0217919347036616
2024-12-31,0.062398357414393035
2025-01-31,-0.08125466990737132
2025-02-28,-0.056123130775456775
2025-03-31,0.07052998089895274
2025-04-30,0.007728379391985416
2025-05-31,-0.03126993137670807
2025-06-30,0.026084669899221972
2025-07-31,-0.032785259702910054
2025-08-31,0.11687732329281633
2025-09-30,0.032673739047378955
2025-10-31,-0.044754570562941604
2025-11-30,0.020685555303880547
2025-12-31,0.06859288195690891
2026-01-31,0.03859119038359056
2026-02-28,0.0063178655904382215
2026-03-31,0.19574764979648349
2026-04-30,0.08774843106541283
2026-05-31,0.12680585747518164
2026-06-30,-0.2551386659509471
2026-07-31,0.06775926151236636
