,spread
2017-08-31,-0.002705110340000854
2017-09-30,0.07131273982688159
2017-10-31,-0.04836187353482457
2017-11-30,-0.05995914181963156
2017-12-31,0.04811222809226102
2018-01-31,0.057987845768913485
2018-02-28,-0.020062622289221475
2018-03-31,-0.028733298171077032
2018-04-30,0.0914759578082667
2018-05-31,-0.046693014545094676
2018-06-30,-0.021709475053826227
2018-07-31,0.09509952321218174
2018-08-31,0.005875144543081585
2018-09-30,-0.057969015104379226
2018-10-31,-0.02732171939082634
2018-11-30,0.013597146070802868
2018-12-31,-0.024504625847722727
2019-01-31,0.03222274406372718
2019-02-28,0.02743964570695938
2019-03-31,-0.031249875966592254
2019-04-30,0.10361960665069946
2019-05-31,-0.06072301316169668
2019-06-30,0.0005573620471116814
2019-07-31,0.11860236676021692
2019-08-31,-0.09535639674550406
2019-09-30,-0.01684765590709518
2019-10-31,-0.019683215574716806
2019-11-30,-0.03299998104663203
2019-12-31,0.061628367974894266
2020-01-31,0.029238949505634826
2020-02-29,0.1803807524382239
2020-03-31,-0.06675772742477684
2020-04-30,0.029968916676351542
2020-05-31,0.008119194150677696
2020-06-30,0.08948244890107787
2020-07-31,-0.019182116960420173
2020-08-31,0.026278156569070385
2020-09-30,-0.009450144656803737
2020-10-31,-0.13383772581401024
2020-11-30,-0.006708787054992636
2020-12-31,0.03851516277347557
2021-01-31,-0.09547444741675823
2021-02-28,-0.09343249824597377
2021-03-31,0.008486976461226828
2021-04-30,-0.009904726892846629
2021-05-31,0.0005003756630871346
2021-06-30,-0.020340827034702993
2021-07-31,0.019757746901721003
2021-08-31,0.014391969471879984
2021-09-30,0.04480026987396221
2021-10-31,-0.024025497618395328
2021-11-30,-0.06950901539625579
2021-12-31,-0.05152855291147562
2022-01-31,0.03878843248259532
2022-02-28,0.05191744387827501
2022-03-31,0.05410839748129938
2022-04-30,0.09333660393472742
2022-05-31,0.031046593714732493
2022-06-30,-0.07258669684462407
2022-07-31,0.04942337593459726
2022-08-31,0.043697735907176974
2022-09-30,0.05565453900088907
2022-10-31,-0.0005476067917904795
2022-11-30,0.06413576107254472
2022-12-31,-0.18522185587219284
2023-01-31,-0.003287244111015407
2023-02-28,-0.025374970836085683
2023-03-31,0.022213973674845428
2023-04-30,-0.018077331185585375
2023-05-31,-0.02569094130869788
2023-06-30,-0.02467198994612961
2023-07-31,0.0126565258678068
2023-08-31,-0.00043321171162187533
2023-09-30,0.0011938475168204454
2023-10-31,0.027429645118821844
2023-11-30,-0.04545195054491821
2023-12-31,0.07038836184433403
2024-01-31,0.14299858084298964
2024-02-29,0.0008388131351312403
2024-03-31,-0.02370087487122742
2024-04-30,0.03101962935885484
2024-05-31,0.01117781933827147
2024-06-30,-0.04015294413815059
2024-07-31,0.02282487276205105
2024-08-31,0.030993955757457954
2024-09-30,0.058358738965680224
2024-10-31,0.09698782701315298
2024-11-30,-0.021791934703661607
2024-12-31,0.062398357414393035
2025-01-31,-0.08125466990737132
2025-02-28,-0.05612313077545676
2025-03-31,0.07052998089895274
2025-04-30,0.007728379391985417
2025-05-31,-0.03126993137670807
2025-06-30,0.026084669899221972
2025-07-31,-0.03278525970291005
2025-08-31,0.11687732329281633
2025-09-30,0.03267373904737896
2025-10-31,-0.044754570562941604
2025-11-30,0.020685555303880544
2025-12-31,0.0685928819569089
2026-01-31,0.03859119038359056
2026-02-28,0.006317865590438218
2026-03-31,0.19574764979648349
2026-04-30,0.08774843106541283
2026-05-31,0.12680585747518164
2026-06-30,-0.25513866595094703
2026-07-31,0.06775926151236636
