hold_months,target,n_months_overlap,t_stat_overlap,mean_spread_pct_overlap,n_months_nonoverlap,t_stat_nonoverlap,mean_spread_pct_nonoverlap,win_rate_nonoverlap
1,raw,108,1.4135227130358803,0.9017003078482997,108,1.4135227130358803,0.9017003078482997,0.5648148148148148
1,mkt_adj,108,1.4135227130358798,0.9017003078482996,108,1.4135227130358798,0.9017003078482996,0.5648148148148148
3,raw,106,2.428077342075876,2.420342384428532,36,1.2375318043611605,2.1462658381610598,0.5833333333333334
3,mkt_adj,106,2.428077342075877,2.420342384428533,36,1.2375318043611603,2.1462658381610593,0.5833333333333334
